session_id,age,trial_num,condition,category
CDM_photodraw_e11532554599143,4,4,W,train
CDM_photodraw_e11532554599143,4,5,W,shoe
CDM_photodraw_e11532554599143,4,6,W,cup
CDM_photodraw_e11532554599143,4,7,W,rabbit
CDM_photodraw_e11532555203616,4,3,P,shoe
CDM_photodraw_e11532555203616,4,4,P,cat
CDM_photodraw_e11532555203616,4,5,P,train
CDM_photodraw_e11532555203616,4,6,P,rabbit
CDM_photodraw_e11532555203616,4,7,P,cup
CDM_photodraw_e11532555995167,5,3,S,rabbit
CDM_photodraw_e11532555995167,5,4,S,train
CDM_photodraw_e11532555995167,5,5,S,cat
CDM_photodraw_e11532555995167,5,6,S,cup
CDM_photodraw_e11532555995167,5,7,S,shoe
CDM_photodraw_e11532556623648,5,3,P,cat
CDM_photodraw_e11532556623648,5,4,P,train
CDM_photodraw_e11532556623648,5,5,P,cup
CDM_photodraw_e11532556623648,5,6,P,rabbit
CDM_photodraw_e11532556623648,5,7,P,shoe
CDM_photodraw_e11532557358704,7,3,S,rabbit
CDM_photodraw_e11532557358704,7,4,S,train
CDM_photodraw_e11532557358704,7,5,S,cup
CDM_photodraw_e11532557358704,7,6,S,shoe
CDM_photodraw_e11532557358704,7,7,S,cat
CDM_photodraw_e11532557578120,7,3,W,rabbit
CDM_photodraw_e11532557578120,7,4,W,train
CDM_photodraw_e11532557578120,7,5,W,cup
CDM_photodraw_e11532557578120,7,6,W,cat
CDM_photodraw_e11532557578120,7,7,W,shoe
CDM_photodraw_e11532558017061,6,3,P,train
CDM_photodraw_e11532558017061,6,4,P,cat
CDM_photodraw_e11532558017061,6,5,P,cup
CDM_photodraw_e11532558017061,6,6,P,shoe
CDM_photodraw_e11532558017061,6,7,P,rabbit
CDM_photodraw_e11532559138714,5,3,P,train
CDM_photodraw_e11532559138714,5,4,P,shoe
CDM_photodraw_e11532559138714,5,5,P,cat
CDM_photodraw_e11532559138714,5,6,P,rabbit
CDM_photodraw_e11532559138714,5,7,P,cup
CDM_photodraw_e11533072218503,5,3,W,train
CDM_photodraw_e11533072218503,5,4,W,cup
CDM_photodraw_e11533072218503,5,5,W,rabbit
CDM_photodraw_e11533072218503,5,6,W,cat
CDM_photodraw_e11533072218503,5,7,W,shoe
CDM_photodraw_e11533073144281,5,3,W,train
CDM_photodraw_e11533073144281,5,4,W,rabbit
CDM_photodraw_e11533073144281,5,5,W,cup
CDM_photodraw_e11533073144281,5,6,W,cat
CDM_photodraw_e11533073144281,5,7,W,shoe
CDM_photodraw_e11533077186611,5,3,P,rabbit
CDM_photodraw_e11533077186611,5,4,P,cup
CDM_photodraw_e11533077186611,5,5,P,shoe
CDM_photodraw_e11533077186611,5,6,P,train
CDM_photodraw_e11533077186611,5,7,P,cat
CDM_photodraw_e11533077471951,5,3,W,train
CDM_photodraw_e11533077471951,5,4,W,cup
CDM_photodraw_e11533077471951,5,5,W,rabbit
CDM_photodraw_e11533077471951,5,6,W,cat
CDM_photodraw_e11533077471951,5,7,W,shoe
CDM_photodraw_e11533079562976,5,3,S,shoe
CDM_photodraw_e11533079562976,5,4,S,train
CDM_photodraw_e11533079562976,5,5,S,cat
CDM_photodraw_e11533079562976,5,6,S,cup
CDM_photodraw_e11533079562976,5,7,S,rabbit
CDM_photodraw_e11533079944053,6,3,W,cup
