session_id,age,trial_num,condition,category,newSet
CDM_photodraw_e11532111112405,7,3,S,cat,1
CDM_photodraw_e11532113637303,4,5,W,cat,1
CDM_photodraw_e11532114278628,5,5,P,train,1
CDM_photodraw_e11532122541242,5,6,P,shoe,1
CDM_photodraw_e11532460938594,6,4,S,cup,1
CDM_photodraw_e11532460938594,6,6,S,shoe,1
CDM_photodraw_e11532462743178,6,5,P,train,1
CDM_photodraw_e11532462743178,6,6,P,rabbit,1
CDM_photodraw_e11532463640792,6,3,S,shoe,1
CDM_photodraw_e11532466284265,5,5,P,rabbit,1
CDM_photodraw_e11532466284265,5,6,P,cat,1
CDM_photodraw_e11532468221484,7,3,W,shoe,1
CDM_photodraw_e11532468221484,7,5,W,rabbit,1
CDM_photodraw_e11532468221484,7,6,W,cup,1
CDM_photodraw_e11532471274122,4,4,S,cat,1
CDM_photodraw_e11532471274122,4,7,S,shoe,1
CDM_photodraw_e11532472926384,4,3,W,shoe,1
CDM_photodraw_e11532472926384,4,6,W,cat,1
CDM_photodraw_e11532541142092,5,3,P,cup,1
CDM_photodraw_e11532541142092,5,4,P,shoe,1
CDM_photodraw_e11532541142092,5,6,P,train,1
CDM_photodraw_e11532542255729,6,5,P,train,1
CDM_photodraw_e11532542255729,6,7,P,shoe,1
CDM_photodraw_e11532543756370,6,3,S,train,1
CDM_photodraw_e11532543756370,6,5,S,cup,1
CDM_photodraw_e11532543756370,6,6,S,rabbit,1
CDM_photodraw_e11532544321666,4,3,W,cat,1
CDM_photodraw_e11532544321666,4,5,W,shoe,1
CDM_photodraw_e11532544321666,4,6,W,cup,1
CDM_photodraw_e11532545713435,6,3,P,shoe,1
CDM_photodraw_e11532546711242,7,5,S,cup,1
CDM_photodraw_e11532546711242,7,6,S,shoe,1
CDM_photodraw_e11532547010484,6,5,W,shoe,1
CDM_photodraw_e11532547528521,4,5,P,train,1
CDM_photodraw_e11532547528521,4,6,P,cat,1
CDM_photodraw_e11532552096322,4,5,S,cat,1
CDM_photodraw_e11532552431212,6,3,W,cat,1
CDM_photodraw_e11532552431212,6,4,W,cup,1
CDM_photodraw_e11532552431212,6,7,W,shoe,1
CDM_photodraw_e11532553232054,6,4,P,cup,1
CDM_photodraw_e11532553232054,6,5,P,rabbit,1
CDM_photodraw_e11532553232054,6,6,P,train,1
CDM_photodraw_e11532554214992,6,5,S,rabbit,1
CDM_photodraw_e11532554214992,6,7,S,train,1
CDM_photodraw_e11532554599143,4,3,W,cat,1
CDM_photodraw_e11532554599143,4,7,W,rabbit,1
CDM_photodraw_e11532555203616,4,3,P,shoe,1
CDM_photodraw_e11532555203616,4,4,P,cat,1
CDM_photodraw_e11532555203616,4,6,P,rabbit,1
CDM_photodraw_e11532555203616,4,7,P,cup,1
CDM_photodraw_e11532555995167,5,6,S,cup,1
CDM_photodraw_e11532555995167,5,7,S,shoe,1
CDM_photodraw_e11532556623648,5,5,P,cup,1
CDM_photodraw_e11532557358704,7,3,S,rabbit,1
CDM_photodraw_e11532557358704,7,4,S,train,1
CDM_photodraw_e11532557358704,7,6,S,shoe,1
CDM_photodraw_e11532557578120,7,6,W,cat,1
CDM_photodraw_e11532558017061,6,7,P,rabbit,1
CDM_photodraw_e11533073144281,5,3,W,train,1
CDM_photodraw_e11533073144281,5,4,W,rabbit,1
CDM_photodraw_e11533073144281,5,5,W,cup,1
CDM_photodraw_e11533077471951,5,4,W,cup,1
CDM_photodraw_e11533077471951,5,5,W,rabbit,1
CDM_photodraw_e11533077471951,5,7,W,shoe,1
CDM_photodraw_e11533079562976,5,3,S,shoe,1
CDM_photodraw_e11533079562976,5,7,S,rabbit,1
CDM_photodraw_e11533079944053,6,3,W,cup,1
CDM_photodraw_e11533080485289,4,4,S,rabbit,1
CDM_photodraw_e11533080485289,4,6,S,shoe,1
CDM_photodraw_e11533145279933,5,3,W,rabbit,1
CDM_photodraw_e11533145279933,5,4,W,cat,1
CDM_photodraw_e11533145985106,4,4,P,cat,1
CDM_photodraw_e11533145985106,4,6,P,rabbit,1
CDM_photodraw_e11533146317748,7,3,P,shoe,1
CDM_photodraw_e11533146317748,7,5,P,cup,1
CDM_photodraw_e11533146317748,7,7,P,cat,1
CDM_photodraw_e11533147991237,6,3,W,train,1
CDM_photodraw_e11533147991237,6,5,W,cat,1
CDM_photodraw_e11533148939408,5,6,S,shoe,1
CDM_photodraw_e11533153765735,5,5,S,shoe,1
CDM_photodraw_e11533153765735,5,7,S,train,1
CDM_photodraw_e11533154273996,5,5,W,train,1
CDM_photodraw_e11533154273996,5,7,W,cat,1
CDM_photodraw_e11533156255593,6,6,W,cat,1
CDM_photodraw_e11533156546289,7,6,P,train,1
CDM_photodraw_e11533157120454,5,5,P,shoe,1
CDM_photodraw_e11533157120454,5,7,P,cup,1
CDM_photodraw_e11533157666476,5,3,W,shoe,1
CDM_photodraw_e11533157666476,5,7,W,rabbit,1
CDM_photodraw_e11533158163200,5,5,S,rabbit,1
CDM_photodraw_e11533159385631,6,4,S,rabbit,1
CDM_photodraw_e11533160231802,5,4,S,cup,1
CDM_photodraw_e11533160231802,5,5,S,cat,1
CDM_photodraw_e11533161870392,5,4,S,rabbit,1
CDM_photodraw_e11533161870392,5,7,S,cat,1
CDM_photodraw_e11533162144527,5,3,W,cup,1
CDM_photodraw_e11533162144527,5,7,W,rabbit,1
CDM_photodraw_e11533164692587,4,7,P,cat,1
