,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration,filename
371,cdm_run_v21525215311428,7,a fish,age2,1525215482759.0,2018-05-01T22:58:02.759Z,12,15.233,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age2_cdm_run_v21525215311428.png
372,cdm_run_v21525215311428,8,a car,age2,1525215504146.0,2018-05-01T22:58:24.146Z,7,10.3,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a car_sketch_age2_cdm_run_v21525215311428.png
373,cdm_run_v21525215311428,9,a dog,age2,1525215531960.0,2018-05-01T22:58:51.960Z,13,15.302,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age2_cdm_run_v21525215311428.png
374,cdm_run_v21525215311428,10,a boat,age2,1525215552282.0,2018-05-01T22:59:12.282Z,9,8.984,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age2_cdm_run_v21525215311428.png
375,cdm_run_v21525215311428,11,something you love,age2,1525215586998.0,2018-05-01T22:59:46.998Z,14,16.469,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/something you love_sketch_age2_cdm_run_v21525215311428.png
376,cdm_run_v21525218441146,0,square,age2,1525218532956.0,2018-05-01T23:48:52.956Z,15,12.382,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age2_cdm_run_v21525218441146.png
377,cdm_run_v21525219775626,0,square,age2,1525281119702.0,2018-05-02T17:11:59.702Z,3,10.089,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age2_cdm_run_v21525219775626.png
378,cdm_run_v21525219775626,1,shape,age2,1525281154006.0,2018-05-02T17:12:34.006Z,5,7.678,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age2_cdm_run_v21525219775626.png
379,cdm_run_v21525281217296,0,square,age2,1525281264136.0,2018-05-02T17:14:24.136Z,4,19.726,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age2_cdm_run_v21525281217296.png
380,cdm_run_v21525281217296,1,shape,age2,1525281291926.0,2018-05-02T17:14:51.926Z,19,3.717,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age2_cdm_run_v21525281217296.png
