session_id,age,trial_num,condition,category
CDM_photodraw_e11532559138714,age5,4,P,shoe
CDM_photodraw_e11532559138714,age5,5,P,cat
CDM_photodraw_e11532559138714,age5,6,P,rabbit
CDM_photodraw_e11532559138714,age5,7,P,cup
CDM_photodraw_e11533072218503,age5,3,W,train
CDM_photodraw_e11533072218503,age5,4,W,cup
CDM_photodraw_e11533072218503,age5,5,W,rabbit
CDM_photodraw_e11533072218503,age5,6,W,cat
CDM_photodraw_e11533072218503,age5,7,W,shoe
CDM_photodraw_e11533073144281,age5,3,W,train
CDM_photodraw_e11533073144281,age5,4,W,rabbit
CDM_photodraw_e11533073144281,age5,5,W,cup
CDM_photodraw_e11533073144281,age5,6,W,cat
CDM_photodraw_e11533073144281,age5,7,W,shoe
CDM_photodraw_e11533077186611,age5,3,P,rabbit
CDM_photodraw_e11533077186611,age5,4,P,cup
CDM_photodraw_e11533077186611,age5,5,P,shoe
CDM_photodraw_e11533077186611,age5,6,P,train
CDM_photodraw_e11533077186611,age5,7,P,cat
CDM_photodraw_e11533077471951,age5,3,W,train
CDM_photodraw_e11533077471951,age5,4,W,cup
CDM_photodraw_e11533077471951,age5,5,W,rabbit
CDM_photodraw_e11533077471951,age5,6,W,cat
CDM_photodraw_e11533077471951,age5,7,W,shoe
CDM_photodraw_e11533079562976,age5,3,S,shoe
CDM_photodraw_e11533079562976,age5,4,S,train
CDM_photodraw_e11533079562976,age5,5,S,cat
CDM_photodraw_e11533079562976,age5,6,S,cup
CDM_photodraw_e11533079562976,age5,7,S,rabbit
CDM_photodraw_e11533079944053,age6,3,W,cup
CDM_photodraw_e11533079944053,age6,4,W,rabbit
CDM_photodraw_e11533079944053,age6,5,W,shoe
CDM_photodraw_e11533079944053,age6,6,W,train
CDM_photodraw_e11533079944053,age6,7,W,cat
CDM_photodraw_e11533080485289,age4,3,S,train
CDM_photodraw_e11533080485289,age4,4,S,rabbit
CDM_photodraw_e11533080485289,age4,5,S,cat
CDM_photodraw_e11533080485289,age4,6,S,shoe
CDM_photodraw_e11533080485289,age4,7,S,cup
CDM_photodraw_e11533145279933,age5,3,W,rabbit
CDM_photodraw_e11533145279933,age5,4,W,cat
CDM_photodraw_e11533145279933,age5,5,W,cup
CDM_photodraw_e11533145279933,age5,6,W,shoe
CDM_photodraw_e11533145279933,age5,7,W,train
CDM_photodraw_e11533145985106,age4,3,P,train
CDM_photodraw_e11533145985106,age4,4,P,cat
CDM_photodraw_e11533145985106,age4,5,P,shoe
CDM_photodraw_e11533145985106,age4,6,P,rabbit
CDM_photodraw_e11533145985106,age4,7,P,cup
CDM_photodraw_e11533146317748,age7,3,P,shoe
CDM_photodraw_e11533146317748,age7,4,P,rabbit
CDM_photodraw_e11533146317748,age7,5,P,cup
CDM_photodraw_e11533146317748,age7,6,P,train
CDM_photodraw_e11533146317748,age7,7,P,cat
CDM_photodraw_e11533147693749,age5,3,S,cat
CDM_photodraw_e11533147693749,age5,4,S,train
CDM_photodraw_e11533147693749,age5,5,S,cup
CDM_photodraw_e11533147693749,age5,6,S,shoe
CDM_photodraw_e11533147693749,age5,7,S,rabbit
CDM_photodraw_e11533147991237,age6,3,W,train
CDM_photodraw_e11533147991237,age6,4,W,rabbit
CDM_photodraw_e11533147991237,age6,5,W,cat
CDM_photodraw_e11533147991237,age6,6,W,shoe
CDM_photodraw_e11533147991237,age6,7,W,cup
CDM_photodraw_e11533148420272,age7,3,P,shoe
CDM_photodraw_e11533148420272,age7,4,P,rabbit
CDM_photodraw_e11533148420272,age7,5,P,cat
CDM_photodraw_e11533148420272,age7,6,P,train
CDM_photodraw_e11533148420272,age7,7,P,cup
CDM_photodraw_e11533148939408,age5,3,S,train
CDM_photodraw_e11533148939408,age5,6,S,shoe
CDM_photodraw_e11533148939408,age5,7,S,cup
CDM_photodraw_e11533153765735,age5,3,S,cup
CDM_photodraw_e11533153765735,age5,4,S,cat
CDM_photodraw_e11533153765735,age5,5,S,shoe
CDM_photodraw_e11533153765735,age5,6,S,rabbit
CDM_photodraw_e11533153765735,age5,7,S,train
CDM_photodraw_e11533154273996,age5,3,W,rabbit
CDM_photodraw_e11533154273996,age5,4,W,shoe
CDM_photodraw_e11533154273996,age5,5,W,train
CDM_photodraw_e11533154273996,age5,6,W,cup
CDM_photodraw_e11533154273996,age5,7,W,cat
CDM_photodraw_e11533156255593,age6,3,W,shoe
CDM_photodraw_e11533156255593,age6,4,W,rabbit
CDM_photodraw_e11533156255593,age6,5,W,train
CDM_photodraw_e11533156255593,age6,6,W,cat
CDM_photodraw_e11533156255593,age6,7,W,cup
CDM_photodraw_e11533156546289,age7,3,P,cup
CDM_photodraw_e11533156546289,age7,4,P,cat
CDM_photodraw_e11533156546289,age7,5,P,shoe
CDM_photodraw_e11533156546289,age7,6,P,train
CDM_photodraw_e11533156546289,age7,7,P,rabbit
CDM_photodraw_e11533157120454,age5,3,P,train
CDM_photodraw_e11533157120454,age5,4,P,rabbit
CDM_photodraw_e11533157120454,age5,5,P,shoe
CDM_photodraw_e11533157120454,age5,6,P,cat
CDM_photodraw_e11533157120454,age5,7,P,cup
CDM_photodraw_e11533157666476,age5,3,W,shoe
CDM_photodraw_e11533157666476,age5,4,W,cat
CDM_photodraw_e11533157666476,age5,5,W,cup
CDM_photodraw_e11533157666476,age5,6,W,train
CDM_photodraw_e11533157666476,age5,7,W,rabbit
CDM_photodraw_e11533158163200,age5,3,S,cat
CDM_photodraw_e11533158163200,age5,4,S,shoe
CDM_photodraw_e11533158163200,age5,5,S,rabbit
CDM_photodraw_e11533158163200,age5,6,S,cup
CDM_photodraw_e11533158163200,age5,7,S,train
CDM_photodraw_e11533159385631,age6,3,S,cup
CDM_photodraw_e11533159385631,age6,4,S,rabbit
CDM_photodraw_e11533159385631,age6,5,S,cat
CDM_photodraw_e11533159385631,age6,6,S,shoe
CDM_photodraw_e11533159385631,age6,7,S,train
CDM_photodraw_e11533159607984,age5,3,W,cat
CDM_photodraw_e11533159607984,age5,4,W,train
CDM_photodraw_e11533159607984,age5,5,W,shoe
CDM_photodraw_e11533159607984,age5,6,W,rabbit
CDM_photodraw_e11533159607984,age5,7,W,cup
CDM_photodraw_e11533160231802,age5,3,S,shoe
CDM_photodraw_e11533160231802,age5,4,S,cup
CDM_photodraw_e11533160231802,age5,5,S,cat
CDM_photodraw_e11533160231802,age5,6,S,train
CDM_photodraw_e11533160231802,age5,7,S,rabbit
CDM_photodraw_e11533161870392,age5,3,S,cup
