,dist_target,dist_conf,session_id,age,target_class_label,conf_class_label
0,71.044158935546875,72.137710571289062,run_v31527962399296,2.0,a bird,a dog
1,53.718681335449219,54.874622344970703,run_v31527962824837,2.0,a bird,a dog
2,55.391025543212891,56.413002014160156,run_v31527969599198,2.0,a bird,a dog
3,53.070152282714844,54.436431884765625,run_v31527972599108,2.0,a bird,a dog
4,42.40557861328125,42.162788391113281,run_v31528137599244,2.0,a bird,a dog
5,78.222854614257812,79.176307678222656,run_v31528238200865,2.0,a bird,a dog
6,64.886894226074219,65.24822998046875,run_v31528238432992,2.0,a bird,a dog
7,32.517318725585938,34.136558532714844,run_v31528239723616,2.0,a bird,a dog
8,39.066680908203125,39.868183135986328,run_v31528321199079,2.0,a bird,a dog
9,50.092555999755859,51.202545166015625,run_v31528323219648,2.0,a bird,a dog
10,42.977691650390625,44.318874359130859,run_v31528393568087,2.0,a bird,a dog
11,48.664707183837891,47.366626739501953,run_v31528396799267,2.0,a bird,a dog
12,51.119800567626953,51.542083740234375,run_v31528480199337,2.0,a bird,a dog
13,82.184921264648438,82.064445495605469,run_v31528495589660,2.0,a bird,a dog
14,35.661407470703125,36.862129211425781,run_v31528568999293,2.0,a bird,a dog
15,43.966644287109375,45.701534271240234,run_v31528756799095,2.0,a bird,a dog
16,44.591320037841797,44.661304473876953,run_v31529002799262,2.0,a bird,a dog
17,55.500831604003906,54.188449859619141,run_v31529105877611,2.0,a bird,a dog
18,70.87127685546875,70.388893127441406,run_v31529179199275,2.0,a bird,a dog
19,64.863899230957031,65.589187622070312,run_v31529182386333,2.0,a bird,a dog
20,50.874164581298828,50.166534423828125,run_v31529186399166,2.0,a bird,a dog
21,43.001262664794922,42.726398468017578,run_v31529432999222,2.0,a bird,a dog
22,51.506214141845703,50.239425659179688,run_v31530313521817,2.0,a bird,a dog
23,66.711235046386719,67.310623168945312,run_v31530402216335,2.0,a bird,a dog
24,63.162757873535156,63.109554290771484,run_v31530473790141,2.0,a bird,a dog
25,62.79962158203125,63.373786926269531,run_v31530480824568,2.0,a bird,a dog
26,40.345344543457031,38.753829956054688,run_v31530488992022,2.0,a bird,a dog
27,45.005088806152344,46.226749420166016,run_v31530552560204,2.0,a bird,a dog
28,40.490470886230469,42.631881713867188,run_v31530639636671,2.0,a bird,a dog
29,51.188224792480469,52.120349884033203,run_v31530646805310,2.0,a bird,a dog
30,60.894279479980469,62.04473876953125,run_v31530734076142,2.0,a bird,a dog
31,58.128513336181641,56.967731475830078,run_v31530737035545,2.0,a bird,a dog
32,35.9884033203125,35.623794555664062,run_v31530741937841,2.0,a bird,a dog
33,35.554195404052734,37.324592590332031,run_v31530817954419,2.0,a bird,a dog
34,44.341403961181641,44.255546569824219,run_v31531419269258,2.0,a bird,a dog
35,50.516963958740234,51.887615203857422,run_v31531421007338,2.0,a bird,a dog
36,32.311149597167969,31.551258087158203,run_v31531424117873,2.0,a bird,a dog
37,42.046211242675781,42.064311981201172,run_v31531428472392,2.0,a bird,a dog
38,43.489822387695312,45.501136779785156,run_v31531593381031,2.0,a bird,a dog
39,38.824810028076172,39.470634460449219,run_v31531597773825,2.0,a bird,a dog
40,29.443193435668945,29.163043975830078,run_v31531598283011,2.0,a bird,a dog
41,37.567043304443359,36.764091491699219,run_v31531604038450,2.0,a bird,a dog
42,30.08930778503418,30.175741195678711,run_v31531604412388,2.0,a bird,a dog
43,35.513591766357422,35.890342712402344,run_v31531609233310,2.0,a bird,a dog
44,47.493270874023438,49.340991973876953,run_v31531682143759,2.0,a bird,a dog
45,31.864997863769531,29.998628616333008,run_v31531777386499,2.0,a bird,a dog
46,68.265876770019531,68.210296630859375,run_v31531936445541,2.0,a bird,a dog
47,111.55906677246094,111.58124542236328,run_v31531942620332,2.0,a bird,a dog
48,61.393985748291016,61.969356536865234,run_v31531949116143,2.0,a bird,a dog
49,55.211170196533203,54.185596466064453,run_v31532125244036,2.0,a bird,a dog
50,35.932220458984375,36.210197448730469,run_v31527963107380,3.0,a bird,a dog
51,58.899490356445312,58.622570037841797,run_v31527971399240,3.0,a bird,a dog
52,80.909500122070312,81.923332214355469,run_v31527978734885,3.0,a bird,a dog
53,31.231571197509766,31.419900894165039,run_v31527979199137,3.0,a bird,a dog
54,44.302955627441406,45.349430084228516,run_v31528053791790,3.0,a bird,a dog
55,81.9976806640625,81.673828125,run_v31528060444990,3.0,a bird,a dog
56,65.083503723144531,66.216171264648438,run_v31528061999122,3.0,a bird,a dog
57,71.738677978515625,72.930335998535156,run_v31528063199159,3.0,a bird,a dog
58,99.317726135253906,100.23281860351562,run_v31528063799169,3.0,a bird,a dog
59,68.474174499511719,67.984642028808594,run_v31528140599196,3.0,a bird,a dog
60,73.998435974121094,74.698844909667969,run_v31528222799238,3.0,a bird,a dog
