"","workerid","rating","imageName","condition","imNameShort","category","age","sessionId","correct"
"163","a39a0cfcbf4e44546d260ccc1464ca19","rabbit","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/rabbit_sketch_CDM_photodraw_e11532557578120_W_age7.png","W","rabbit_sketch_CDM_photodraw_e11532557578120_W_age7.png","rabbit",7,"e11532557578120",TRUE
"164","a39a0cfcbf4e44546d260ccc1464ca19","cat","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/cat_sketch_CDM_photodraw_e11533162144527_W_age5.png","W","cat_sketch_CDM_photodraw_e11533162144527_W_age5.png","cat",5,"e11533162144527",TRUE
"165","a39a0cfcbf4e44546d260ccc1464ca19","cat","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/S/cat_sketch_CDM_photodraw_e11533147693749_S_age5.png","S","cat_sketch_CDM_photodraw_e11533147693749_S_age5.png","cat",5,"e11533147693749",TRUE
"166","a39a0cfcbf4e44546d260ccc1464ca19","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/cup_sketch_CDM_photodraw_e11533145985106_P_age4.png","P","cup_sketch_CDM_photodraw_e11533145985106_P_age4.png","cup",4,"e11533145985106",FALSE
"167","a39a0cfcbf4e44546d260ccc1464ca19","cat","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/cat_sketch_CDM_photodraw_e11532462743178_P_age6.png","P","cat_sketch_CDM_photodraw_e11532462743178_P_age6.png","cat",6,"e11532462743178",TRUE
"168","a39a0cfcbf4e44546d260ccc1464ca19","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/cup_sketch_CDM_photodraw_e11532547528521_P_age4.png","P","cup_sketch_CDM_photodraw_e11532547528521_P_age4.png","cup",4,"e11532547528521",TRUE
"169","a39a0cfcbf4e44546d260ccc1464ca19","cat","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/cat_sketch_CDM_photodraw_e11533156546289_P_age7.png","P","cat_sketch_CDM_photodraw_e11533156546289_P_age7.png","cat",7,"e11533156546289",TRUE
"170","a39a0cfcbf4e44546d260ccc1464ca19","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/S/shoe_sketch_CDM_photodraw_e11533161870392_S_age5.png","S","shoe_sketch_CDM_photodraw_e11533161870392_S_age5.png","shoe",5,"e11533161870392",TRUE
"171","a39a0cfcbf4e44546d260ccc1464ca19","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/shoe_sketch_CDM_photodraw_e11532558017061_P_age6.png","P","shoe_sketch_CDM_photodraw_e11532558017061_P_age6.png","shoe",6,"e11532558017061",TRUE
"172","a39a0cfcbf4e44546d260ccc1464ca19","cat","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/cat_sketch_CDM_photodraw_e11532558017061_P_age6.png","P","cat_sketch_CDM_photodraw_e11532558017061_P_age6.png","cat",6,"e11532558017061",TRUE
"173","a39a0cfcbf4e44546d260ccc1464ca19","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/cup_sketch_CDM_photodraw_e11532122541242_P_age5.png","P","cup_sketch_CDM_photodraw_e11532122541242_P_age5.png","cup",5,"e11532122541242",FALSE
"174","a39a0cfcbf4e44546d260ccc1464ca19","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/S/cup_sketch_CDM_photodraw_e11532554214992_S_age6.png","S","cup_sketch_CDM_photodraw_e11532554214992_S_age6.png","cup",6,"e11532554214992",TRUE
"175","a39a0cfcbf4e44546d260ccc1464ca19","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/cup_sketch_CDM_photodraw_e11533077186611_P_age5.png","P","cup_sketch_CDM_photodraw_e11533077186611_P_age5.png","cup",5,"e11533077186611",TRUE
"176","a39a0cfcbf4e44546d260ccc1464ca19","cat","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/cat_sketch_CDM_photodraw_e11533157666476_W_age5.png","W","cat_sketch_CDM_photodraw_e11533157666476_W_age5.png","cat",5,"e11533157666476",TRUE
"177","a39a0cfcbf4e44546d260ccc1464ca19","train","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/train_sketch_CDM_photodraw_e11532547010484_W_age6.png","W","train_sketch_CDM_photodraw_e11532547010484_W_age6.png","train",6,"e11532547010484",TRUE
"178","a39a0cfcbf4e44546d260ccc1464ca19","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/cup_sketch_CDM_photodraw_e11532472926384_W_age4.png","W","cup_sketch_CDM_photodraw_e11532472926384_W_age4.png","cup",4,"e11532472926384",TRUE
