session_id,category,age,num_strokes,draw_duration_old,draw_duration_new,mean_intensity,age_numeric,filename
cdm_run_v71571526669020,a bee,age10,9,11.136,0,0.0281808035714286,10,bee_sketch_age10_cdm_run_v71571526669020.png
cdm_run_v71571610102326,a bee,age10,11,11.876,0,0.0715680803571429,10,bee_sketch_age10_cdm_run_v71571610102326.png
cdm_run_v71571610980974,a bee,age10,9,7.563,0,0.0356345663265306,10,bee_sketch_age10_cdm_run_v71571610980974.png
cdm_run_v71572205431405,a bee,age10,7,2.785,0,0.026546556122449,10,bee_sketch_age10_cdm_run_v71572205431405.png
cdm_run_v71572216212307,a bee,age10,8,6.61,0,0.0220224808673469,10,bee_sketch_age10_cdm_run_v71572216212307.png
cdm_run_v71572220105620,a bee,age10,10,10.378,0,0.0855986926020408,10,bee_sketch_age10_cdm_run_v71572220105620.png
cdm_run_v71572374918300,a bee,age10,19,15.063,0,0.101442920918367,10,bee_sketch_age10_cdm_run_v71572374918300.png
cdm_run_v71572379377434,a bee,age10,7,3.559,0,0.0458984375,10,bee_sketch_age10_cdm_run_v71572379377434.png
cdm_run_v71572465543434,a bee,age10,11,11.294,0,0.027523118622449,10,bee_sketch_age10_cdm_run_v71572465543434.png
cdm_run_v71572465854873,a bee,age10,28,19.809,0,0.0425900829081633,10,bee_sketch_age10_cdm_run_v71572465854873.png
cdm_run_v71572634487225,a bee,age10,13,10.91,0,0.0326450892857143,10,bee_sketch_age10_cdm_run_v71572634487225.png
cdm_run_v71572645616966,a bee,age10,9,11.853,0,0.016960299744898,10,bee_sketch_age10_cdm_run_v71572645616966.png
cdm_run_v71572720492509,a bee,age10,13,13.677,0,0.0230189732142857,10,bee_sketch_age10_cdm_run_v71572720492509.png
cdm_run_v71573082182347,a bee,age10,13,11.888,0,0.038962850765306097,10,bee_sketch_age10_cdm_run_v71573082182347.png
cdm_run_v71573160706719,a bee,age10,10,6.059,0,0.0318279655612245,10,bee_sketch_age10_cdm_run_v71573160706719.png
cdm_run_v71573428041116,a bee,age10,9,6.838,0,0.0270248724489796,10,bee_sketch_age10_cdm_run_v71573428041116.png
cdm_run_v71573432782261,a bee,age10,2,0.499,0,0.0260881696428571,10,bee_sketch_age10_cdm_run_v71573432782261.png
cdm_run_v71573500307077,a bee,age10,22,28.194,0,0.126654177295918,10,bee_sketch_age10_cdm_run_v71573500307077.png
cdm_run_v71573507736704,a bee,age10,19,16.051,0,0.0382852359693878,10,bee_sketch_age10_cdm_run_v71573507736704.png
cdm_run_v71573507944728,a bee,age10,17,11.211,0,0.0569595025510204,10,bee_sketch_age10_cdm_run_v71573507944728.png
cdm_run_v71573509547673,a bee,age10,17,25.585,0,0.0805963010204082,10,bee_sketch_age10_cdm_run_v71573509547673.png
cdm_run_v71573584815022,a bee,age10,1,0,0,0.066206951530612193,10,bee_sketch_age10_cdm_run_v71573584815022.png
cdm_run_v71573600588998,a bee,age10,15,16.17,0,0.0599091198979592,10,bee_sketch_age10_cdm_run_v71573600588998.png
cdm_run_v71573946696169,a bee,age10,6,4.119,0,0.0290975765306122,10,bee_sketch_age10_cdm_run_v71573946696169.png
cdm_run_v71573948986547,a bee,age10,21,19.578,0,0.0971580038265306,10,bee_sketch_age10_cdm_run_v71573948986547.png
cdm_run_v71574197493275,a bee,age10,16,13.889,0,0.0211654974489796,10,bee_sketch_age10_cdm_run_v71574197493275.png
cdm_run_v71574550542393,a bee,age10,6,10.329,0,0.0287786989795918,10,bee_sketch_age10_cdm_run_v71574550542393.png
cdm_run_v71574725525505,a bee,age10,12,13.332,0,0.0573979591836735,10,bee_sketch_age10_cdm_run_v71574725525505.png
cdm_run_v71574815450069,a bee,age10,14,16.924,0,0.0384845344387755,10,bee_sketch_age10_cdm_run_v71574815450069.png
cdm_run_v71574887158075,a bee,age10,10,11.644,0,0.0134127869897959,10,bee_sketch_age10_cdm_run_v71574887158075.png
cdm_run_v71574889755930,a bee,age10,12,8.071,0,0.0613639987244898,10,bee_sketch_age10_cdm_run_v71574889755930.png
cdm_run_v71574896014589,a bee,age10,5,3.746,0,0.0233179209183673,10,bee_sketch_age10_cdm_run_v71574896014589.png
cdm_run_v71575491611928,a bee,age10,6,7.769,0,0.015804368622449,10,bee_sketch_age10_cdm_run_v71575491611928.png
cdm_run_v71575841461670,a bee,age10,8,5.622,0,0.0361128826530612,10,bee_sketch_age10_cdm_run_v71575841461670.png
cdm_run_v71576007476302,a bee,age10,22,20.136,0,0.046974649234693903,10,bee_sketch_age10_cdm_run_v71576007476302.png
cdm_run_v71576184921744,a bee,age10,25,27.297,0,0.0790218431122449,10,bee_sketch_age10_cdm_run_v71576184921744.png
cdm_run_v71576369252746,a bee,age10,36,25.508,0,0.0566206951530612,10,bee_sketch_age10_cdm_run_v71576369252746.png
cdm_run_v71576789587164,a bee,age10,20,17.355,0,0.0675223214285714,10,bee_sketch_age10_cdm_run_v71576789587164.png
cdm_run_v71577050685903,a bee,age10,13,18.982,0,0.0461176658163265,10,bee_sketch_age10_cdm_run_v71577050685903.png
cdm_run_v71577130910752,a bee,age10,15,6.335,0,0.0353954081632653,10,bee_sketch_age10_cdm_run_v71577130910752.png
cdm_run_v71571511567340,a bee,age2,21,24.317,0,0.0508211096938775,2,bee_sketch_age2_cdm_run_v71571511567340.png
cdm_run_v71571766749830,a bee,age2,13,7.717,0,0.0474131058673469,2,bee_sketch_age2_cdm_run_v71571766749830.png
cdm_run_v71571772925417,a bee,age2,11,9.297,0,0.0384646045918367,2,bee_sketch_age2_cdm_run_v71571772925417.png
cdm_run_v71571955997316,a bee,age2,1,0,0,0.0138113839285714,2,bee_sketch_age2_cdm_run_v71571955997316.png
cdm_run_v71572027932306,a bee,age2,4,6.977,0,0.0361926020408163,2,bee_sketch_age2_cdm_run_v71572027932306.png
cdm_run_v71572132116567,a bee,age2,3,4.485,0,0.0229591836734694,2,bee_sketch_age2_cdm_run_v71572132116567.png
