session_id,category,age,num_strokes,draw_duration_old,draw_duration_new,mean_intensity,age_numeric,filename
cdm_run_v61562702174644,a bed,age10,6,7.633,0,0.0108019770408163,10,bed_sketch_age10_cdm_run_v61562702174644.png
cdm_run_v61562704576854,a bed,age10,21,26.664,0,0.0778061224489796,10,bed_sketch_age10_cdm_run_v61562704576854.png
cdm_run_v61562710003079,a bed,age10,9,16.545,0,0.0652702487244898,10,bed_sketch_age10_cdm_run_v61562710003079.png
cdm_run_v61562791532083,a bed,age10,8,14.925,0,0.0491470025510204,10,bed_sketch_age10_cdm_run_v61562791532083.png
cdm_run_v61562793605054,a bed,age10,8,7.759,0,0.0372488839285714,10,bed_sketch_age10_cdm_run_v61562793605054.png
cdm_run_v61562956860772,a bed,age10,11,16.779,0,0.0415338010204082,10,bed_sketch_age10_cdm_run_v61562956860772.png
cdm_run_v61563054263709,a bed,age10,17,17.169,0,0.0889668367346939,10,bed_sketch_age10_cdm_run_v61563054263709.png
cdm_run_v61563140989985,a bed,age10,3,2.583,0,0.041115274234693903,10,bed_sketch_age10_cdm_run_v61563140989985.png
cdm_run_v61563147303124,a bed,age10,3,8.286,0,0.0342992665816327,10,bed_sketch_age10_cdm_run_v61563147303124.png
cdm_run_v61563230196770,a bed,age10,6,4.218,0,0.0264867665816327,10,bed_sketch_age10_cdm_run_v61563230196770.png
cdm_run_v61563307014250,a bed,age10,9,10.077,0,0.0400191326530612,10,bed_sketch_age10_cdm_run_v61563307014250.png
cdm_run_v61563473985119,a bed,age10,3,10.647,0,0.0173788265306122,10,bed_sketch_age10_cdm_run_v61563473985119.png
cdm_run_v61563490031312,a bed,age10,11,12.964,0,0.0387236926020408,10,bed_sketch_age10_cdm_run_v61563490031312.png
cdm_run_v61563556333640,a bed,age10,11,9.577,0,0.0339205994897959,10,bed_sketch_age10_cdm_run_v61563556333640.png
cdm_run_v61563659705971,a bed,age10,11,14.705,0,0.0613839285714286,10,bed_sketch_age10_cdm_run_v61563659705971.png
cdm_run_v61563738186052,a bed,age10,3,2.33,0,0.0135921556122449,10,bed_sketch_age10_cdm_run_v61563738186052.png
cdm_run_v61563820005619,a bed,age10,12,10.055,0,0.0605867346938775,10,bed_sketch_age10_cdm_run_v61563820005619.png
cdm_run_v61563920674409,a bed,age10,3,6.122,0,0.0331433354591837,10,bed_sketch_age10_cdm_run_v61563920674409.png
cdm_run_v61564081714109,a bed,age10,3,6.155,0,0.0195711096938776,10,bed_sketch_age10_cdm_run_v61564081714109.png
cdm_run_v61564082059437,a bed,age10,5,6.019,0,0.0306720344387755,10,bed_sketch_age10_cdm_run_v61564082059437.png
cdm_run_v61564091254749,a bed,age10,8,11.419,0,0.0633569834183673,10,bed_sketch_age10_cdm_run_v61564091254749.png
cdm_run_v61564251566351,a bed,age10,13,11.381,0,0.0312101403061224,10,bed_sketch_age10_cdm_run_v61564251566351.png
cdm_run_v61564263040307,a bed,age10,22,22.355,0,0.0704719387755102,10,bed_sketch_age10_cdm_run_v61564263040307.png
cdm_run_v61564267622279,a bed,age10,5,5.926,0,0.0272042410714286,10,bed_sketch_age10_cdm_run_v61564267622279.png
cdm_run_v61564269744111,a bed,age10,5,5.524,0,0.057975924744898,10,bed_sketch_age10_cdm_run_v61564269744111.png
cdm_run_v61564355465506,a bed,age10,6,10.197,0,0.0309709821428571,10,bed_sketch_age10_cdm_run_v61564355465506.png
cdm_run_v61564427777377,a bed,age10,4,4.783,0,0.0370296556122449,10,bed_sketch_age10_cdm_run_v61564427777377.png
cdm_run_v61564429804705,a bed,age10,9,15.16,0,0.0654296875,10,bed_sketch_age10_cdm_run_v61564429804705.png
cdm_run_v61564433402632,a bed,age10,3,3.358,0,0.0271444515306122,10,bed_sketch_age10_cdm_run_v61564433402632.png
