session_id,category,age,num_strokes,draw_duration_old,draw_duration_new,mean_intensity,age_numeric,filename
cdm_run_v51551572768941,a bottle,age10,6,8.909,0,0.0424904336734694,10,bottle_sketch_age10_cdm_run_v51551572768941.png
cdm_run_v51551644482014,a bottle,age10,2,1.614,0,0.0251713966836735,10,bottle_sketch_age10_cdm_run_v51551644482014.png
cdm_run_v51551645028092,a bottle,age10,2,4.635,0,0.0171197385204082,10,bottle_sketch_age10_cdm_run_v51551645028092.png
cdm_run_v51551985287097,a bottle,age10,2,9.85,0,0.014289700255102,10,bottle_sketch_age10_cdm_run_v51551985287097.png
cdm_run_v51551985666409,a bottle,age10,1,0,0,0.0213448660714286,10,bottle_sketch_age10_cdm_run_v51551985666409.png
cdm_run_v51552001435229,a bottle,age10,7,10.767,0,0.0262077487244898,10,bottle_sketch_age10_cdm_run_v51552001435229.png
cdm_run_v51552591439996,a bottle,age10,8,5.326,0,0.0209661989795918,10,bottle_sketch_age10_cdm_run_v51552591439996.png
cdm_run_v51552600549457,a bottle,age10,4,9.418,0,0.0210459183673469,10,bottle_sketch_age10_cdm_run_v51552600549457.png
cdm_run_v51552602908723,a bottle,age10,2,3.244,0,0.0274832589285714,10,bottle_sketch_age10_cdm_run_v51552602908723.png
cdm_run_v51553122217093,a bottle,age10,24,23.124,0,0.0398796237244898,10,bottle_sketch_age10_cdm_run_v51553122217093.png
cdm_run_v51554064555557,a bottle,age10,1,0,0,0.0222217793367347,10,bottle_sketch_age10_cdm_run_v51554064555557.png
cdm_run_v51554330723340,a bottle,age10,16,11.221,0,0.046775350765306097,10,bottle_sketch_age10_cdm_run_v51554330723340.png
cdm_run_v51554398456261,a bottle,age10,2,1.586,0,0.0204679528061224,10,bottle_sketch_age10_cdm_run_v51554398456261.png
cdm_run_v51554410217292,a bottle,age10,4,5.208,0,0.0131935586734694,10,bottle_sketch_age10_cdm_run_v51554410217292.png
cdm_run_v51554662734819,a bottle,age10,5,2.684,0,0.0241749043367347,10,bottle_sketch_age10_cdm_run_v51554662734819.png
cdm_run_v51554836050504,a bottle,age10,3,5.317,0,0.0235570790816327,10,bottle_sketch_age10_cdm_run_v51554836050504.png
