category,condition,subID,image_name,age_numeric,filename
tree,P,110218_1,images_photocues/tree_3.png,5,photodraw2_all_sketches/tree/P_tree_sketch_age5_CDM_photodraw_e21541191137910.png
watch,P,181219_1,images_photocues/watch_3.png,5,photodraw2_all_sketches/watch/P_watch_sketch_age5_CDM_photodraw_e21545243809095.png
watch,P,010919_3,images_photocues/watch_3.png,5,photodraw2_all_sketches/watch/P_watch_sketch_age5_CDM_photodraw_e21547062251659.png
airplane,S,011119_3,images_photocues/airplane_3.png,6,photodraw2_all_sketches/airplane/S_airplane_sketch_age6_CDM_photodraw_e21547232670235.png
airplane,P,110718_1,images_photocues/airplane_1.png,6,photodraw2_all_sketches/airplane/P_airplane_sketch_age6_CDM_photodraw_e21541613545900.png
bike,P,011819_8,images_photocues/bike_1.png,6,photodraw2_all_sketches/bike/P_bike_sketch_age6_CDM_photodraw_e21547849081297.png
bike,S,103118_1,images_photocues/bike_3.png,6,photodraw2_all_sketches/bike/S_bike_sketch_age6_CDM_photodraw_e21541008354503.png
bird,S,011819_5,images_photocues/bird_3.png,6,photodraw2_all_sketches/bird/S_bird_sketch_age6_CDM_photodraw_e21547845453981.png
bird,P,011819_8,images_photocues/bird_1.png,6,photodraw2_all_sketches/bird/P_bird_sketch_age6_CDM_photodraw_e21547849081297.png
car,S,011819_1,images_photocues/car_3.png,6,photodraw2_all_sketches/car/S_car_sketch_age6_CDM_photodraw_e21547834597252.png
car,P,011119_7,images_photocues/car_2.png,6,photodraw2_all_sketches/car/P_car_sketch_age6_CDM_photodraw_e21547240775263.png
cat,P,011619_4,images_photocues/cat_2.png,6,photodraw2_all_sketches/cat/P_cat_sketch_age6_CDM_photodraw_e21547668018017.png
cat,S,012119_1,images_photocues/cat_1.png,6,photodraw2_all_sketches/cat/S_cat_sketch_age6_CDM_photodraw_e21548094649748.png
chair,P,011819_5,images_photocues/chair_2.png,6,photodraw2_all_sketches/chair/P_chair_sketch_age6_CDM_photodraw_e21547845453981.png
chair,S,103118_1,images_photocues/chair_2.png,6,photodraw2_all_sketches/chair/S_chair_sketch_age6_CDM_photodraw_e21541008354503.png
cup,P,011819_1,images_photocues/cup_3.png,6,photodraw2_all_sketches/cup/P_cup_sketch_age6_CDM_photodraw_e21547834597252.png
cup,S,111418_2,images_photocues/cup_2.png,6,photodraw2_all_sketches/cup/S_cup_sketch_age6_CDM_photodraw_e21542220695445.png
hat,P,103118_1,images_photocues/hat_2.png,6,photodraw2_all_sketches/hat/P_hat_sketch_age6_CDM_photodraw_e21541008354503.png
hat,S,111218_4,images_photocues/hat_3.png,6,photodraw2_all_sketches/hat/S_hat_sketch_age6_CDM_photodraw_e21542050776864.png
house,S,011819_5,images_photocues/house_1.png,6,photodraw2_all_sketches/house/S_house_sketch_age6_CDM_photodraw_e21547845453981.png
house,P,111418_4,images_photocues/house_2.png,6,photodraw2_all_sketches/house/P_house_sketch_age6_CDM_photodraw_e21542224218088.png
rabbit,S,011119_4,images_photocues/rabbit_3.png,6,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age6_CDM_photodraw_e21547237271293.png
rabbit,S,111218_4,images_photocues/rabbit_1.png,6,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age6_CDM_photodraw_e21542050776864.png
tree,P,102618_2,images_photocues/tree_1.png,6,photodraw2_all_sketches/tree/P_tree_sketch_age6_CDM_photodraw_e21540577320461.png
tree,S,010919_9,images_photocues/tree_2.png,6,photodraw2_all_sketches/tree/S_tree_sketch_age6_CDM_photodraw_e21547073155004.png
