category,condition,subID,image_name,age_numeric,filename
airplane,P,012519_4,images_photocues/airplane_1.png,4,photodraw2_all_sketches/airplane/P_airplane_sketch_age4_CDM_photodraw_e21548451296118.png
airplane,P,011619_5,images_photocues/airplane_1.png,4,photodraw2_all_sketches/airplane/P_airplane_sketch_age4_CDM_photodraw_e21547668526141.png
bike,S,011119_12,images_photocues/bike_3.png,4,photodraw2_all_sketches/bike/S_bike_sketch_age4_CDM_photodraw_e21547246292717.png
bike,P,012519_4,images_photocues/bike_2.png,4,photodraw2_all_sketches/bike/P_bike_sketch_age4_CDM_photodraw_e21548451296118.png
bird,S,102618_1,images_photocues/bird_3.png,4,photodraw2_all_sketches/bird/S_bird_sketch_age4_CDM_photodraw_e21540576907849.png
bird,P,011119_12,images_photocues/bird_2.png,4,photodraw2_all_sketches/bird/P_bird_sketch_age4_CDM_photodraw_e21547246292717.png
car,S,011119_12,images_photocues/car_3.png,4,photodraw2_all_sketches/car/S_car_sketch_age4_CDM_photodraw_e21547246292717.png
car,S,011119_11,images_photocues/car_2.png,4,photodraw2_all_sketches/car/S_car_sketch_age4_CDM_photodraw_e21547243566891.png
cat,P,011119_9,images_photocues/cat_1.png,4,photodraw2_all_sketches/cat/P_cat_sketch_age4_CDM_photodraw_e21547242197593.png
cat,S,011119_8,images_photocues/cat_2.png,4,photodraw2_all_sketches/cat/S_cat_sketch_age4_CDM_photodraw_e21547241159990.png
chair,P,102618_1,images_photocues/chair_3.png,4,photodraw2_all_sketches/chair/P_chair_sketch_age4_CDM_photodraw_e21540576907849.png
chair,P,110918_1,images_photocues/chair_1.png,4,photodraw2_all_sketches/chair/P_chair_sketch_age4_CDM_photodraw_e21541799408496.png
cup,S,011119_11,images_photocues/cup_2.png,4,photodraw2_all_sketches/cup/S_cup_sketch_age4_CDM_photodraw_e21547243566891.png
cup,P,011619_7,images_photocues/cup_1.png,4,photodraw2_all_sketches/cup/P_cup_sketch_age4_CDM_photodraw_e21547673281903.png
hat,S,011619_5,images_photocues/hat_2.png,4,photodraw2_all_sketches/hat/S_hat_sketch_age4_CDM_photodraw_e21547668526141.png
