category,condition,subID,image_name,age_numeric,filename
tree,P,011119_4,images_photocues/tree_1.png,6,photodraw2_all_sketches/tree/P_tree_sketch_age6_CDM_photodraw_e21547237271293.png
tree,S,011109_5,images_photocues/tree_3.png,6,photodraw2_all_sketches/tree/S_tree_sketch_age6_CDM_photodraw_e21547238095569.png
airplane,S,011119_6,images_photocues/airplane_2.png,8,photodraw2_all_sketches/airplane/S_airplane_sketch_age8_CDM_photodraw_e21547238752953.png
car,S,011119_6,images_photocues/car_3.png,8,photodraw2_all_sketches/car/S_car_sketch_age8_CDM_photodraw_e21547238752953.png
bird,S,011119_6,images_photocues/bird_1.png,8,photodraw2_all_sketches/bird/S_bird_sketch_age8_CDM_photodraw_e21547238752953.png
watch,P,011119_6,images_photocues/watch_1.png,8,photodraw2_all_sketches/watch/P_watch_sketch_age8_CDM_photodraw_e21547238752953.png
bike,P,011119_6,images_photocues/bike_3.png,8,photodraw2_all_sketches/bike/P_bike_sketch_age8_CDM_photodraw_e21547238752953.png
tree,S,011119_7,images_photocues/tree_2.png,6,photodraw2_all_sketches/tree/S_tree_sketch_age6_CDM_photodraw_e21547240775263.png
tree,S,011119_8,images_photocues/tree_3.png,4,photodraw2_all_sketches/tree/S_tree_sketch_age4_CDM_photodraw_e21547241159990.png
airplane,P,011119_9,images_photocues/airplane_3.png,4,photodraw2_all_sketches/airplane/P_airplane_sketch_age4_CDM_photodraw_e21547242197593.png
house,P,011119_10,images_photocues/house_2.png,7,photodraw2_all_sketches/house/P_house_sketch_age7_CDM_photodraw_e21547242571962.png
bike,P,011119_10,images_photocues/bike_3.png,7,photodraw2_all_sketches/bike/P_bike_sketch_age7_CDM_photodraw_e21547242571962.png
cup,S,011119_11,images_photocues/cup_2.png,4,photodraw2_all_sketches/cup/S_cup_sketch_age4_CDM_photodraw_e21547243566891.png
bird,P,011119_11,images_photocues/bird_2.png,4,photodraw2_all_sketches/bird/P_bird_sketch_age4_CDM_photodraw_e21547243566891.png
watch,S,011119_13,images_photocues/watch_1.png,7,photodraw2_all_sketches/watch/S_watch_sketch_age7_CDM_photodraw_e21547247873170.png
chair,S,011619_2,images_photocues/chair_1.png,4,photodraw2_all_sketches/chair/S_chair_sketch_age4_CDM_photodraw_e21547664938821.png
rabbit,S,011619_2,images_photocues/rabbit_2.png,4,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age4_CDM_photodraw_e21547664938821.png
hat,P,011619_3,images_photocues/hat_3.png,7,photodraw2_all_sketches/hat/P_hat_sketch_age7_CDM_photodraw_e21547667337924.png
hat,S,011619_4,images_photocues/hat_1.png,6,photodraw2_all_sketches/hat/S_hat_sketch_age6_CDM_photodraw_e21547668018017.png
watch,P,011619_4,images_photocues/watch_1.png,6,photodraw2_all_sketches/watch/P_watch_sketch_age6_CDM_photodraw_e21547668018017.png
house,P,011619_5,images_photocues/house_3.png,4,photodraw2_all_sketches/house/P_house_sketch_age4_CDM_photodraw_e21547668526141.png
cat,S,011619_6,images_photocues/cat_2.png,4,photodraw2_all_sketches/cat/S_cat_sketch_age4_CDM_photodraw_e21547672389753.png
