"","workerid","rating","imageName","condition","imNameShort","category","age","sessionId","correct"
"55","881281d0d475e26f40397c101b9ff586","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/S/shoe_sketch_CDM_photodraw_e11532460938594_S_age6.png","S","shoe_sketch_CDM_photodraw_e11532460938594_S_age6.png","shoe",6,"e11532460938594",TRUE
"56","881281d0d475e26f40397c101b9ff586","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/P/shoe_sketch_CDM_photodraw_e11532122541242_P_age5.png","P","shoe_sketch_CDM_photodraw_e11532122541242_P_age5.png","shoe",5,"e11532122541242",TRUE
"57","881281d0d475e26f40397c101b9ff586","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/W/shoe_sketch_CDM_photodraw_e11532119809715_W_age7.png","W","shoe_sketch_CDM_photodraw_e11532119809715_W_age7.png","shoe",7,"e11532119809715",TRUE
"58","881281d0d475e26f40397c101b9ff586","cat","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/P/rabbit_sketch_CDM_photodraw_e11532545713435_P_age6.png","P","rabbit_sketch_CDM_photodraw_e11532545713435_P_age6.png","rabbit",6,"e11532545713435",FALSE
"59","881281d0d475e26f40397c101b9ff586","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/W/shoe_sketch_CDM_photodraw_e11532468221484_W_age7.png","W","shoe_sketch_CDM_photodraw_e11532468221484_W_age7.png","shoe",7,"e11532468221484",TRUE
"60","881281d0d475e26f40397c101b9ff586","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/P/cup_sketch_CDM_photodraw_e11532541142092_P_age5.png","P","cup_sketch_CDM_photodraw_e11532541142092_P_age5.png","cup",5,"e11532541142092",TRUE
"61","881281d0d475e26f40397c101b9ff586","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/P/cup_sketch_CDM_photodraw_e11532545713435_P_age6.png","P","cup_sketch_CDM_photodraw_e11532545713435_P_age6.png","cup",6,"e11532545713435",TRUE
"62","881281d0d475e26f40397c101b9ff586","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/W/cup_sketch_CDM_photodraw_e11532113637303_W_age4.png","W","cup_sketch_CDM_photodraw_e11532113637303_W_age4.png","cup",4,"e11532113637303",FALSE
"63","881281d0d475e26f40397c101b9ff586","cat","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/S/cat_sketch_CDM_photodraw_e11532460938594_S_age6.png","S","cat_sketch_CDM_photodraw_e11532460938594_S_age6.png","cat",6,"e11532460938594",TRUE
"64","881281d0d475e26f40397c101b9ff586","train","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/S/train_sketch_CDM_photodraw_e11532543756370_S_age6.png","S","train_sketch_CDM_photodraw_e11532543756370_S_age6.png","train",6,"e11532543756370",TRUE
"65","881281d0d475e26f40397c101b9ff586","car","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/P/rabbit_sketch_CDM_photodraw_e11532122541242_P_age5.png","P","rabbit_sketch_CDM_photodraw_e11532122541242_P_age5.png","rabbit",5,"e11532122541242",FALSE
