,_id,shuffler_ind,url,age,session_id,filename,games,fileNameShortNew,class,updatedAt,numGames
2742,5f5c1010aa5864590371c81a,745,https://kiddraw.s3.amazonaws.com/hat_sketch_age3_cdm_run_v51551395574723.png,age3,cdm_run_v51551395574723,hat_sketch_age3_cdm_run_v51551395574723.png,"['5f0f15292ef17304b8630947', '5accd8f7bf2ab00001aa8162', '5e4044797946592823cbec2a']",hat_sketch_age3_cdm_run_v51551395574723.png,a hat,2020-09-15 00:36:11.277,3
2743,5f5c1010aa5864590371c81b,4083,https://kiddraw.s3.amazonaws.com/hat_sketch_age3_cdm_run_v51551552994206.png,age3,cdm_run_v51551552994206,hat_sketch_age3_cdm_run_v51551552994206.png,"['5f54dec7364a0485d880f139', '5f56586779a86f05faa07be4']",hat_sketch_age3_cdm_run_v51551552994206.png,a hat,2020-09-14 22:12:13.592,2
2744,5f5c1010aa5864590371c81c,4324,https://kiddraw.s3.amazonaws.com/hat_sketch_age3_cdm_run_v51551553448452.png,age3,cdm_run_v51551553448452,hat_sketch_age3_cdm_run_v51551553448452.png,"['5ee268ccd241783671347ab8', '5f591c706c0a8f11f637115e']",hat_sketch_age3_cdm_run_v51551553448452.png,a hat,2020-09-14 22:41:47.127,2
2745,5f5c1010aa5864590371c81d,6432,https://kiddraw.s3.amazonaws.com/hat_sketch_age3_cdm_run_v51551558829462.png,age3,cdm_run_v51551558829462,hat_sketch_age3_cdm_run_v51551558829462.png,"['5f2b24c4224df7527baee383', '56504ecf1b3cda000f544e92']",hat_sketch_age3_cdm_run_v51551558829462.png,a hat,2020-09-15 00:23:31.994,2
2746,5f5c1010aa5864590371c81e,5714,https://kiddraw.s3.amazonaws.com/hat_sketch_age3_cdm_run_v51551563741291.png,age3,cdm_run_v51551563741291,hat_sketch_age3_cdm_run_v51551563741291.png,"['5f32a9f8d5256d000a41a2d5', '5e9a90794a7e88127a8fe01e']",hat_sketch_age3_cdm_run_v51551563741291.png,a hat,2020-09-15 00:23:03.346,2
2747,5f5c1010aa5864590371c81f,3426,https://kiddraw.s3.amazonaws.com/hat_sketch_age3_cdm_run_v51551564135075.png,age3,cdm_run_v51551564135075,hat_sketch_age3_cdm_run_v51551564135075.png,"['5f3065661c8a6913493aaf71', '5cd86ddb9b427c00012aff0d', '5d4602322f66d0001a1208c7']",hat_sketch_age3_cdm_run_v51551564135075.png,a hat,2020-09-15 17:55:38.067,3
2748,5f5c1010aa5864590371c820,104,https://kiddraw.s3.amazonaws.com/hat_sketch_age3_cdm_run_v51551645346635.png,age3,cdm_run_v51551645346635,hat_sketch_age3_cdm_run_v51551645346635.png,"['', '5f400938427f570ee6781225', '5dc5da21d999de45a504651b']",hat_sketch_age3_cdm_run_v51551645346635.png,a hat,2020-09-15 00:26:42.803,3
2749,5f5c1010aa5864590371c821,1363,https://kiddraw.s3.amazonaws.com/hat_sketch_age3_cdm_run_v51551648126397.png,age3,cdm_run_v51551648126397,hat_sketch_age3_cdm_run_v51551648126397.png,"['5ea8c40504081a31ebd22b41', '5c30c3c9301a9c0001357413', '5c5744cfb7cf140001d39d81']",hat_sketch_age3_cdm_run_v51551648126397.png,a hat,2020-09-15 17:19:58.783,3
2750,5f5c1010aa5864590371c822,4580,https://kiddraw.s3.amazonaws.com/hat_sketch_age3_cdm_run_v51551898659723.png,age3,cdm_run_v51551898659723,hat_sketch_age3_cdm_run_v51551898659723.png,"['5ee29b0ff4a50b7a93a2c7c2', '5f036fa191b83b566b3ff142']",hat_sketch_age3_cdm_run_v51551898659723.png,a hat,2020-09-15 00:21:18.191,2
2751,5f5c1010aa5864590371c823,4025,https://kiddraw.s3.amazonaws.com/hat_sketch_age3_cdm_run_v51551899829274.png,age3,cdm_run_v51551899829274,hat_sketch_age3_cdm_run_v51551899829274.png,"['5f54dec7364a0485d880f139', '5f56586779a86f05faa07be4']",hat_sketch_age3_cdm_run_v51551899829274.png,a hat,2020-09-14 22:12:13.592,2
2752,5f5c1010aa5864590371c824,6872,https://kiddraw.s3.amazonaws.com/hat_sketch_age3_cdm_run_v51551904891691.png,age3,cdm_run_v51551904891691,hat_sketch_age3_cdm_run_v51551904891691.png,"['5f3d63427c561a0f0d0cb09c', '5daa50967776b10016e1bc9b']",hat_sketch_age3_cdm_run_v51551904891691.png,a hat,2020-09-15 00:24:02.310,2
