,_id,session_id,class,age,fileNameShortNew,filename,url,shuffler_ind,games,updatedAt,numGames
3865,5f6121a29d2bb9d2b91ada5e,cdm_run_v61565649820827,a horse,age4,horse_sketch_age4_cdm_run_v61565649820827.png,horse_sketch_age4_cdm_run_v61565649820827.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61565649820827.png,1740,"['5f02825de3eda5141350189f', '5d1a58294c1ddd000148daf5', '5f330e4efbd63510972cffd1']",2020-09-16 18:52:42.153,3
3866,5f6121a29d2bb9d2b91ada5f,cdm_run_v61565723357403,a horse,age4,horse_sketch_age4_cdm_run_v61565723357403.png,horse_sketch_age4_cdm_run_v61565723357403.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61565723357403.png,6336,"['5f39a37c518ae254a2da84f9', '591f9101acfd340001376293']",2020-09-16 18:10:22.332,2
3867,5f6121a39d2bb9d2b91ada60,cdm_run_v61565736708583,a horse,age4,horse_sketch_age4_cdm_run_v61565736708583.png,horse_sketch_age4_cdm_run_v61565736708583.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61565736708583.png,9049,"['5e968e6744b6d010b16540a4', '5f1b6af39b4e3035b520a80b']",2020-09-16 18:19:08.400,2
3868,5f6121a39d2bb9d2b91ada61,cdm_run_v61565804803768,a horse,age4,horse_sketch_age4_cdm_run_v61565804803768.png,horse_sketch_age4_cdm_run_v61565804803768.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61565804803768.png,5768,"['5f4bc363e36f910753f37bdc', '5e08d48b7bf5721d51467348']",2020-09-16 18:09:55.938,2
3869,5f6121a39d2bb9d2b91ada62,cdm_run_v61565809710607,a horse,age4,horse_sketch_age4_cdm_run_v61565809710607.png,horse_sketch_age4_cdm_run_v61565809710607.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61565809710607.png,5016,"['5d6ee372f52ee2001b314d3a', '5d51a96b5054110015905fd9']",2020-09-16 18:09:14.921,2
3870,5f6121a39d2bb9d2b91ada63,cdm_run_v61565889398168,a horse,age4,horse_sketch_age4_cdm_run_v61565889398168.png,horse_sketch_age4_cdm_run_v61565889398168.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61565889398168.png,8730,"['5ebee3b533dc312a4636028a', '59d65ad8e2762800015eb51b']",2020-09-16 18:17:19.191,2
3871,5f6121a39d2bb9d2b91ada64,cdm_run_v61565897687793,a horse,age4,horse_sketch_age4_cdm_run_v61565897687793.png,horse_sketch_age4_cdm_run_v61565897687793.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61565897687793.png,9640,"['5ee11eb5636ea94d3ad43e3b', '5a62927db9e3b50001a6e87a']",2020-09-16 18:49:42.043,2
3872,5f6121a39d2bb9d2b91ada65,cdm_run_v61565907338868,a horse,age4,horse_sketch_age4_cdm_run_v61565907338868.png,horse_sketch_age4_cdm_run_v61565907338868.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61565907338868.png,7553,"['5f00aaa0b864761ce8828d1e', '5ebc93c4fab0570de74c2005']",2020-09-16 18:12:46.510,2
3873,5f6121a39d2bb9d2b91ada66,cdm_run_v61565910998815,a horse,age4,horse_sketch_age4_cdm_run_v61565910998815.png,horse_sketch_age4_cdm_run_v61565910998815.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61565910998815.png,1330,"['5f23168ae0d0d0074122da0f', '5791dae225cb71000128ad5b', '5eff6065cc8d32014292657f']",2020-09-16 18:51:57.213,3
3874,5f6121a39d2bb9d2b91ada67,cdm_run_v61565911715756,a horse,age4,horse_sketch_age4_cdm_run_v61565911715756.png,horse_sketch_age4_cdm_run_v61565911715756.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61565911715756.png,559,"['5e816bdc285d3884d00d6dcb', '5f4d4ad0fdcc2b1371ceec98', '5f560c98c03d6b056a3650fe']",2020-09-16 18:51:29.788,3
3875,5f6121a39d2bb9d2b91ada68,cdm_run_v61565985510347,a horse,age4,horse_sketch_age4_cdm_run_v61565985510347.png,horse_sketch_age4_cdm_run_v61565985510347.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61565985510347.png,3301,"['5e7575068134ad0dcf47202f', '5f2f11d244e45b2f09a8144c']",2020-09-16 18:06:36.262,2
3876,5f6121a39d2bb9d2b91ada69,cdm_run_v61565990795493,a horse,age4,horse_sketch_age4_cdm_run_v61565990795493.png,horse_sketch_age4_cdm_run_v61565990795493.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61565990795493.png,347,"['5ee85ec585a33015e839df78', '5bc66d68c67f6c00011a5149', '5ee57a019e80f50008aba206']",2020-09-16 18:51:17.352,3
3877,5f6121a39d2bb9d2b91ada6a,cdm_run_v61566062657657,a horse,age4,horse_sketch_age4_cdm_run_v61566062657657.png,horse_sketch_age4_cdm_run_v61566062657657.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566062657657.png,3452,"['5b4b1ef3b8b20a00015a33a2', '59dc458f77860e000151240e']",2020-09-16 18:06:40.937,2
