"","X","index","age","target_label","session_id","correct_or_not","target_label_prob","airplane_prob","bike_prob","bird_prob","car_prob","cat_prob","chair_prob","cup_prob","hat_prob","house_prob","rabbit_prob","tree_prob","watch_prob"
"1",0,1,4,"airplane","photodraw_e21547673281903",0,0.0986302810519799,0.0986302810519799,0.0749815126236061,0.0769507875439939,0.0794655826109738,0.0566485072368739,0.10419783704442,0.0716383873088008,0.0971964734960206,0.0990801227743597,0.0721928075059431,0.0905864124883001,0.0784312883147282
"2",0,10,4,"airplane","photodraw_e21547243566891",0,0.0803348944184479,0.0803348944184479,0.0877801600350999,0.0899982224957721,0.0743916191832499,0.0795327236543921,0.0652802957996224,0.0741390595163191,0.0757502945814345,0.05936097526901,0.0913820306814287,0.100243123028559,0.121806601336664
"3",0,100,4,"bike","photodraw_e21547242197593",0,0.0917075628379371,0.0793097081234195,0.0917075628379371,0.0824395543294934,0.0847511615064325,0.0732925356070538,0.069311387819558,0.0889030940845003,0.0716224832948447,0.0725312618569651,0.0961769076447694,0.0827876202382659,0.10716672265676
"4",0,1000,6,"tree","photodraw_e21547230596884",1,0.147657278056897,0.0729730669344484,0.0943755520494121,0.105101041044586,0.0673828644165354,0.0837697880305732,0.0832140059830856,0.0737937677025203,0.0657847927312009,0.0548992476185507,0.0740494086295188,0.147657278056897,0.0769991868026717
"5",0,1001,6,"watch","photodraw_e21542220695445",1,0.114468819353703,0.0640096104651224,0.0506523042299657,0.0721831983655225,0.110405057984931,0.0743111418960397,0.0709841828344522,0.10735261073574,0.112076473726666,0.0568799486206761,0.0876090944625424,0.0790675573246387,0.114468819353703
"6",0,1002,6,"watch","photodraw_e21548097384364",0,0.102935793821083,0.0783518357897896,0.0809830168727696,0.0752814153207541,0.0669153124390086,0.0935823301092902,0.0688491227937407,0.0782036650932473,0.078049771021098,0.0752036279988005,0.0842563697338788,0.11738773900654,0.102935793821083
"7",0,1003,7,"watch","photodraw_e21547844653939",1,0.1046909659166,0.0810190473529445,0.102131686554055,0.0891596576084828,0.0556515808456353,0.0680351636716355,0.0830712905519474,0.0598654519841065,0.0925885976239191,0.0949698494631621,0.0787906244323667,0.0900260839951444,0.1046909659166
"8",0,1004,4,"watch","photodraw_e21547246292717",0,0.0856694504481386,0.0751977416699163,0.0745552902516755,0.102046991868774,0.0788300515115553,0.0857353662050254,0.0752006199589048,0.0790280628448667,0.0696118384357516,0.0830853982619139,0.08945645691376,0.101582731629718,0.0856694504481386
"9",0,1005,4,"watch","photodraw_e21547664938821",1,0.0990626122654315,0.0765850102459347,0.0950437700529417,0.0799294333640531,0.0816691103822628,0.070869716294574,0.0819287660639878,0.0946621155689991,0.0748506934478005,0.065511418710381,0.0960306840999805,0.0838566695036533,0.0990626122654315
"10",0,1006,5,"watch","photodraw_e21542047659207",1,0.105550168588224,0.0719844141560843,0.0834160441059152,0.060390811723943,0.0929886967599542,0.0708560682412431,0.0823163393838066,0.0815709314453593,0.104556016236205,0.0708565255255443,0.0934735899696413,0.082040393864079,0.105550168588224
"11",0,1007,6,"watch","photodraw_e21541008354503",0,0.111921687605516,0.0852374306950787,0.113883975407642,0.0682216389457341,0.0865329844148499,0.0807299703720466,0.0663905820774933,0.0873514728439985,0.0769349392741986,0.0803126544227767,0.0755403513887758,0.0669423125518897,0.111921687605516
"12",0,1008,5,"watch","photodraw_e21547062251659",1,0.126100000555386,0.0682377927441442,0.0804307363644151,0.0735489124045561,0.0850227048970227,0.0694599148544572,0.0680366347321477,0.103353964196393,0.10812248050957,0.0581411943203165,0.087266662322762,0.0722790020988289,0.126100000555386
"13",0,1009,4,"watch","photodraw_e21541799408496",1,0.133062716086937,0.0675775950045706,0.0833087489582958,0.0868504939956759,0.0937140831972877,0.0732373985210948,0.0670653788152679,0.112409253607738,0.094990521965786,0.0514517583341306,0.0773558843185515,0.0589761671946639,0.133062716086937
"14",0,101,4,"bike","photodraw_e21547663022993",1,0.106936096881916,0.0773424502975931,0.106936096881916,0.0645043101927509,0.0902769046872723,0.0810620308220793,0.0979274877652137,0.0872375932029575,0.0667984351127149,0.0741061652067188,0.0877284856552882,0.0760489214131295,0.0900311187623664
"15",0,1010,5,"watch","photodraw_e21542218678125",1,0.124839887715299,0.0758829399140513,0.0871866886403784,0.0765018432425654,0.0570810036721593,0.0750912151784775,0.0730394499441802,0.0718995369164197,0.0754990412024499,0.0972007135131746,0.0865154387482647,0.0992622413125804,0.124839887715299
"16",0,1011,4,"watch","photodraw_e21540576907849",0,0.102316622974437,0.0715313163954592,0.0807486133468107,0.0841245598124411,0.0745395480742817,0.076663157016078,0.0611338502167409,0.0887231694608065,0.0922744962698922,0.109374400070876,0.0724057632397227,0.0861645031224539,0.102316622974437
"17",0,1012,8,"watch","photodraw_e21545166957201",1,0.137609496845628,0.0688454643572477,0.102530981558921,0.064530910464446,0.0809092079944658,0.0745707511534996,0.0858870543675064,0.0634287670975754,0.0586663755934659,0.0859925782450105,0.065873486138187,0.111154926184046,0.137609496845628
"18",0,1013,4,"watch","photodraw_e21548455224165",0,0.0894780896195935,0.0812442517159697,0.0873331578267433,0.0844253698899736,0.0906866817444593,0.0814632326875712,0.0656199180393198,0.0737864452455532,0.0808212623335261,0.065228428647506,0.122180404135452,0.0777327581143318,0.0894780896195935
"19",0,1014,5,"watch","photodraw_e21544206692186",1,0.116256370735569,0.0719071174258502,0.0916402065518102,0.0573225934281155,0.0715859067376198,0.0700857343464155,0.106462135781127,0.0659070662540051,0.0913522745139999,0.0906700818649145,0.0723613553727775,0.0944491569877965,0.116256370735569
