,dist_target,dist_conf,session_id,age,target_class_label,conf_class_label
0,52.500484466552734,50.971096038818359,run_test1524772855773,2.0,a person,a bowl
1,37.999515533447266,42.18487548828125,run_v21524845953055,2.0,a person,a bowl
2,40.043819427490234,48.176902770996094,run_v21524941894896,2.0,a person,a bowl
3,49.540874481201172,50.096046447753906,run_v21525209118926,2.0,a person,a bowl
4,67.606857299804688,73.797950744628906,run_v21525215311428,2.0,a person,a bowl
5,61.967182159423828,65.757072448730469,run_v21525559104049,2.0,a person,a bowl
6,53.172252655029297,58.169857025146484,run_v21525643466617,2.0,a person,a bowl
7,47.303901672363281,53.012203216552734,run_v21525646419316,2.0,a person,a bowl
8,43.485145568847656,44.520744323730469,run_v21525812881643,2.0,a person,a bowl
9,69.067756652832031,72.303237915039062,run_v31525893174061,2.0,a person,a bowl
10,37.699302673339844,44.727214813232422,run_v31525990258467,2.0,a person,a bowl
11,31.341396331787109,33.35919189453125,run_v31526064952740,2.0,a person,a bowl
12,45.461772918701172,44.471237182617188,run_v31526160539320,2.0,a person,a bowl
13,50.978775024414062,55.09039306640625,run_v31526162477315,2.0,a person,a bowl
14,46.588142395019531,45.111244201660156,run_v31526241319670,2.0,a person,a bowl
15,37.723278045654297,36.772289276123047,run_v31526413722391,2.0,a person,a bowl
16,87.012092590332031,88.651779174804688,run_v31526491920836,2.0,a person,a bowl
17,56.535045623779297,57.515914916992188,run_v31526492679058,2.0,a person,a bowl
18,30.42523193359375,31.345903396606445,run_v31526493024418,2.0,a person,a bowl
19,39.917148590087891,45.989837646484375,run_v31526493522883,2.0,a person,a bowl
20,50.227767944335938,52.191505432128906,run_v31526497092100,2.0,a person,a bowl
21,38.640506744384766,47.212112426757812,run_v31526498176971,2.0,a person,a bowl
22,43.031494140625,49.586997985839844,run_v31526504221167,2.0,a person,a bowl
23,42.626377105712891,43.785053253173828,run_v31526581002319,2.0,a person,a bowl
24,69.827392578125,72.015876770019531,run_v31526584027584,2.0,a person,a bowl
25,54.416736602783203,56.222652435302734,run_v31526584275728,2.0,a person,a bowl
26,28.237361907958984,33.963275909423828,run_v31526600614970,2.0,a person,a bowl
27,83.509773254394531,86.901947021484375,run_v31526767678558,2.0,a person,a bowl
28,117.96157073974609,119.75674438476562,run_v31532468269409,2.0,a person,a bowl
29,39.918682098388672,44.223102569580078,run_v31532559987361,2.0,a person,a bowl
30,43.417823791503906,46.24298095703125,run_v31532633394673,2.0,a person,a bowl
31,51.530681610107422,58.380027770996094,run_v31532723229745,2.0,a person,a bowl
32,44.391128540039062,47.108234405517578,run_v31532800290623,2.0,a person,a bowl
33,43.101234436035156,50.702785491943359,run_v31532804759926,2.0,a person,a bowl
34,33.878536224365234,38.746967315673828,run_v31532807554781,2.0,a person,a bowl
35,44.204017639160156,52.167755126953125,run_v31532812086389,2.0,a person,a bowl
36,65.178413391113281,68.696975708007812,run_v31532812995267,2.0,a person,a bowl
37,63.871852874755859,67.433677673339844,run_v31533072750881,2.0,a person,a bowl
38,62.021213531494141,63.432044982910156,run_v31533152352798,2.0,a person,a bowl
39,43.975292205810547,49.034755706787109,run_v31533240618116,2.0,a person,a bowl
40,40.679115295410156,39.027828216552734,run_v31533245504712,2.0,a person,a bowl
41,54.864486694335938,56.407451629638672,run_v31533247345225,2.0,a person,a bowl
42,126.67941284179688,126.9052734375,run_v31533248285018,2.0,a person,a bowl
43,46.255870819091797,39.186313629150391,stationPilot1_1524777289150,2.0,a person,a bowl
0,46.014911651611328,40.356025695800781,run_test1524776059907,3.0,a person,a bowl
1,40.393260955810547,49.566986083984375,run_v21525202141816,3.0,a person,a bowl
2,67.442398071289062,73.123687744140625,run_v21525205061570,3.0,a person,a bowl
3,35.493213653564453,29.295305252075195,run_v21525286901090,3.0,a person,a bowl
4,49.061000823974609,49.445430755615234,run_v21525371761734,3.0,a person,a bowl
5,46.872608184814453,51.373023986816406,run_v21525376290344,3.0,a person,a bowl
6,51.638378143310547,58.421039581298828,run_v21525473900587,3.0,a person,a bowl
7,52.147579193115234,56.704662322998047,run_v21525474543819,3.0,a person,a bowl
8,60.237087249755859,54.041667938232422,run_v21525547616618,3.0,a person,a bowl
9,38.733379364013672,42.278934478759766,run_v21525550708871,3.0,a person,a bowl
10,35.849220275878906,47.012062072753906,run_v21525558221538,3.0,a person,a bowl
11,69.631874084472656,70.355117797851562,run_v21525560587054,3.0,a person,a bowl
12,39.278854370117188,43.354522705078125,run_v21525563483417,3.0,a person,a bowl
13,36.868175506591797,35.732284545898438,run_v21525638749442,3.0,a person,a bowl
14,42.760974884033203,43.971469879150391,run_v21525809840098,3.0,a person,a bowl
15,62.794918060302734,55.472434997558594,run_v21525811079374,3.0,a person,a bowl
16,54.268901824951172,56.718536376953125,run_v21525811377305,3.0,a person,a bowl
17,42.728107452392578,46.999088287353516,run_v21525821354432,3.0,a person,a bowl
18,62.511432647705078,61.948226928710938,run_v31525904067360,3.0,a person,a bowl
19,72.819709777832031,78.881507873535156,run_v31525992682386,3.0,a person,a bowl
20,70.309288024902344,73.941490173339844,run_v31526078606222,3.0,a person,a bowl
21,73.495689392089844,75.784538269042969,run_v31526154627196,3.0,a person,a bowl
22,40.682281494140625,52.713512420654297,run_v31526245726886,3.0,a person,a bowl
23,39.752937316894531,48.086479187011719,run_v31526253202063,3.0,a person,a bowl
24,45.975578308105469,46.900463104248047,run_v31526415298029,3.0,a person,a bowl
25,62.508281707763672,63.148139953613281,run_v31526423557040,3.0,a person,a bowl
