,dist_target,dist_conf,session_id,age,target_class_label,conf_class_label
0,38.587657928466797,41.654949188232422,run_v31527962399296,2.0,a rabbit,a dog
1,57.969596862792969,58.996658325195312,run_v31527968718676,2.0,a rabbit,a dog
2,51.924869537353516,52.589942932128906,run_v31527972599108,2.0,a rabbit,a dog
3,27.04974365234375,28.802776336669922,run_v31528068300688,2.0,a rabbit,a dog
4,48.303783416748047,46.365695953369141,run_v31528238200865,2.0,a rabbit,a dog
5,31.031007766723633,32.5576171875,run_v31528239723616,2.0,a rabbit,a dog
6,34.865612030029297,38.021736145019531,run_v31528321199079,2.0,a rabbit,a dog
7,55.956192016601562,55.260627746582031,run_v31528323219648,2.0,a rabbit,a dog
8,40.909004211425781,37.127086639404297,run_v31528393568087,2.0,a rabbit,a dog
9,80.248626708984375,81.264625549316406,run_v31528396799267,2.0,a rabbit,a dog
10,70.181869506835938,71.195854187011719,run_v31528480199337,2.0,a rabbit,a dog
11,86.393402099609375,84.3336181640625,run_v31528495589660,2.0,a rabbit,a dog
12,48.860198974609375,48.942241668701172,run_v31528586162816,2.0,a rabbit,a dog
13,33.614238739013672,32.386196136474609,run_v31528752599073,2.0,a rabbit,a dog
14,61.255161285400391,60.355983734130859,run_v31528756799095,2.0,a rabbit,a dog
15,58.423255920410156,61.119155883789062,run_v31528830599187,2.0,a rabbit,a dog
16,71.346328735351562,71.994529724121094,run_v31528831953841,2.0,a rabbit,a dog
17,68.634933471679688,67.348007202148438,run_v31529101199164,2.0,a rabbit,a dog
18,53.850128173828125,51.635623931884766,run_v31529177200369,2.0,a rabbit,a dog
19,32.110725402832031,35.140796661376953,run_v31529179199275,2.0,a rabbit,a dog
20,105.10549926757812,103.126708984375,run_v31529272799029,2.0,a rabbit,a dog
21,64.146232604980469,62.182720184326172,run_v31529356602865,2.0,a rabbit,a dog
22,42.533607482910156,40.349372863769531,run_v31529356851012,2.0,a rabbit,a dog
23,76.20001220703125,76.335723876953125,run_v31529432999222,2.0,a rabbit,a dog
24,29.785259246826172,31.397138595581055,run_v31529518099687,2.0,a rabbit,a dog
25,39.259273529052734,41.071254730224609,run_v31530385056869,2.0,a rabbit,a dog
26,56.683345794677734,58.047672271728516,run_v31530473790141,2.0,a rabbit,a dog
27,44.857864379882812,44.761924743652344,run_v31530480824568,2.0,a rabbit,a dog
28,47.433765411376953,45.473339080810547,run_v31530488992022,2.0,a rabbit,a dog
29,54.188613891601562,52.089008331298828,run_v31530646805310,2.0,a rabbit,a dog
30,31.540016174316406,32.900711059570312,run_v31530654575015,2.0,a rabbit,a dog
31,57.06915283203125,58.433319091796875,run_v31530741937841,2.0,a rabbit,a dog
32,40.856494903564453,39.935314178466797,run_v31531419269258,2.0,a rabbit,a dog
33,66.591033935546875,66.055992126464844,run_v31531421007338,2.0,a rabbit,a dog
34,53.131710052490234,49.633171081542969,run_v31531428472392,2.0,a rabbit,a dog
35,31.908157348632812,32.008686065673828,run_v31531432232464,2.0,a rabbit,a dog
36,60.492500305175781,60.122669219970703,run_v31531524193282,2.0,a rabbit,a dog
