,ages,distinctiveness,class_labels
0,2,7.9454984667426345,an airplane
1,2,47.407335375742484,an airplane
2,2,42.907638947268133,an airplane
3,2,-6.3814355110245984,an airplane
4,2,2.6484870256838988,an airplane
5,2,40.445690412707023,an airplane
6,2,2.6216292994238017,an airplane
7,2,43.390837696444692,an airplane
8,2,11.759759325283788,an airplane
9,2,62.984257628176671,an airplane
10,2,31.516653370931635,an airplane
11,2,51.974976833759335,an airplane
12,2,45.986219210976735,an airplane
13,2,45.92926661574414,an airplane
14,2,39.070557092827428,an airplane
15,2,42.674576947496938,an airplane
16,2,20.146764418961439,an airplane
17,2,9.9921555221839498,an airplane
18,2,47.645317229949896,an airplane
19,2,37.204457691172784,an airplane
20,2,23.906424023102815,an airplane
21,2,52.206914352673571,an airplane
22,2,27.644764455974453,an airplane
23,2,17.45712059664713,an airplane
24,2,54.508794912179532,an airplane
25,2,49.27127661704499,an airplane
26,2,46.980937742673831,an airplane
27,2,-3.3544370672287016,an airplane
28,2,51.068582887929722,an airplane
29,2,9.2554074251517946,an airplane
30,2,60.175550947361003,an airplane
31,2,38.95796026056118,an airplane
32,2,38.458559838932686,an airplane
33,2,9.0171114088754223,an airplane
34,2,33.981459351423858,an airplane
35,2,15.200097060189535,an airplane
36,2,24.526647311071294,an airplane
37,2,-5.3460966981648568,an airplane
38,2,8.9827821569637365,an airplane
39,2,14.915044231194287,an airplane
40,2,1.1330258863484062,an airplane
41,2,27.824695341257716,an airplane
42,2,7.6994910915414181,an airplane
43,2,7.5355618272376361,an airplane
44,3,40.434502691992215,an airplane
45,3,44.889943528475357,an airplane
46,3,45.858873232663647,an airplane
47,3,28.642865925706104,an airplane
48,3,11.545595387328198,an airplane
49,3,57.806392104633503,an airplane
50,3,-0.2665070094060269,an airplane
51,3,32.16845586789124,an airplane
52,3,42.161614767710986,an airplane
53,3,20.21427418071373,an airplane
54,3,23.238351926980563,an airplane
55,3,30.876432817538642,an airplane
56,3,63.823319943270661,an airplane
57,3,15.309180134427137,an airplane
58,3,43.766244782391816,an airplane
59,3,57.963937697394741,an airplane
60,3,36.558156830134649,an airplane
61,3,30.47146753584741,an airplane
62,3,17.671986931841516,an airplane
63,3,5.0263348620822796,an airplane
64,3,11.183421509788452,an airplane
65,3,59.689749590749202,an airplane
66,3,29.154797514075135,an airplane
67,3,5.0770030278057945,an airplane
68,3,23.13113875166465,an airplane
69,3,5.5991415543701919,an airplane
70,3,16.884799277064033,an airplane
71,3,15.669480094555389,an airplane
72,3,20.650934356913112,an airplane
73,3,22.903573249208961,an airplane
74,3,27.909709533108895,an airplane
75,3,4.6952558996984166,an airplane
76,3,10.266324703202812,an airplane
77,3,12.138824407647213,an airplane
78,3,9.2009872110569972,an airplane
79,3,15.936104082417025,an airplane
80,3,42.87078245278412,an airplane
81,3,54.258559362967084,an airplane
82,3,25.956554964103447,an airplane
83,3,25.447048617631928,an airplane
84,3,16.337987716413402,an airplane
85,3,16.114209315450609,an airplane
86,3,47.354933891390189,an airplane
87,3,48.110475964253062,an airplane
88,3,21.788612432721251,an airplane
89,3,51.590424353636998,an airplane
90,3,37.284893401522282,an airplane
91,3,41.051279279566018,an airplane
92,3,19.055511572726317,an airplane
93,3,20.38368514387674,an airplane
94,3,19.956367328381845,an airplane
95,3,11.341892127182454,an airplane
