,CorrAdultAdult,CorrOldAdult,CorrYoungAdult,SEMAdultAdult,SEMOldAdult,SEMYoungAdult
0,0.809144632,0.391850933,0.161460171,0.07107873,0.078677534,0.068673497
1,0.886432079,0.472531495,0.309058418,0.034600047,0.079810792,0.087404085
2,0.865230811,0.458161762,0.313731313,0.033818611,0.073152942,0.093595727
3,0.905348279,0.597602772,0.404156748,0.020401751,0.076081975,0.103400349
4,0.83982348,0.631957306,0.404685674,0.033439596,0.069014958,0.100377996
5,0.792001403,0.617472628,0.361358536,0.045293813,0.078807666,0.107207871
6,0.804405202,0.639915766,0.371993299,0.046345093,0.075457115,0.109221534
