,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration,filename
281,cdm_run_v31526060998610,2,this circle,age6,1526061388732.0,2018-05-11T17:56:28.732Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age6_cdm_run_v31526060998610.png
282,cdm_run_v31526060998610,3,a person,age6,1526061419004.0,2018-05-11T17:56:59.004Z,13,17.353,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a person_sketch_age6_cdm_run_v31526060998610.png
283,cdm_run_v31526060998610,4,a fish,age6,1526061434067.0,2018-05-11T17:57:14.067Z,11,4.049,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age6_cdm_run_v31526060998610.png
284,cdm_run_v31526061437727,0,square,age6,1526061472418.0,2018-05-11T17:57:52.418Z,2,4.532,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age6_cdm_run_v31526061437727.png
285,cdm_run_v31526061437727,1,shape,age6,1526061492990.0,2018-05-11T17:58:12.990Z,12,9.626,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age6_cdm_run_v31526061437727.png
286,cdm_run_v31526061437727,2,this circle,age6,1526061506564.0,2018-05-11T17:58:26.564Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age6_cdm_run_v31526061437727.png
287,cdm_run_v31526061437727,3,a cup,age6,1526061519348.0,2018-05-11T17:58:39.348Z,2,1.966,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age6_cdm_run_v31526061437727.png
288,cdm_run_v31526061437727,4,a fish,age6,1526061543672.0,2018-05-11T17:59:03.672Z,7,8.499,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age6_cdm_run_v31526061437727.png
289,cdm_run_v31526061437727,5,a car,age6,1526061554552.0,2018-05-11T17:59:14.552Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a car_sketch_age6_cdm_run_v31526061437727.png
290,cdm_run_v31526061437727,6,a house,age6,1526061580945.0,2018-05-11T17:59:40.945Z,12,13.967,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a house_sketch_age6_cdm_run_v31526061437727.png
291,cdm_run_v31526061437727,7,a person,age6,1526061604737.0,2018-05-11T18:00:04.737Z,13,8.684,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a person_sketch_age6_cdm_run_v31526061437727.png
292,cdm_run_v31526061437727,8,a dog,age6,1526061628533.0,2018-05-11T18:00:28.533Z,11,11.843,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age6_cdm_run_v31526061437727.png
293,cdm_run_v31526061437727,9,a boat,age6,1526061642183.0,2018-05-11T18:00:42.183Z,4,4.491,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age6_cdm_run_v31526061437727.png
294,cdm_run_v31526061437727,10,a tree,age6,1526061656407.0,2018-05-11T18:00:56.406Z,4,5.235,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a tree_sketch_age6_cdm_run_v31526061437727.png
295,cdm_run_v31526061437727,11,something you love,age6,1526061677141.0,2018-05-11T18:01:17.141Z,10,6.89,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/something you love_sketch_age6_cdm_run_v31526061437727.png
296,cdm_run_v31526061679146,0,square,age7,1526061796941.0,2018-05-11T18:03:16.940Z,2,5.747,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age7_cdm_run_v31526061679146.png
297,cdm_run_v31526061799166,0,square,age7,1526061816844.0,2018-05-11T18:03:36.844Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age7_cdm_run_v31526061799166.png
298,cdm_run_v31526061799166,1,shape,age7,1526061830120.0,2018-05-11T18:03:50.120Z,2,7.224,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age7_cdm_run_v31526061799166.png
299,cdm_run_v31526061799166,2,this circle,age7,1526061840113.0,2018-05-11T18:04:00.113Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age7_cdm_run_v31526061799166.png
300,cdm_run_v31526061799166,3,a house,age7,1526061850693.0,2018-05-11T18:04:10.693Z,2,1.725,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a house_sketch_age7_cdm_run_v31526061799166.png
301,cdm_run_v31526061799166,4,a fish,age7,1526061862539.0,2018-05-11T18:04:22.539Z,4,1.667,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age7_cdm_run_v31526061799166.png
302,cdm_run_v31526061874268,0,square,age7,1526061890380.0,2018-05-11T18:04:50.380Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age7_cdm_run_v31526061874268.png
303,cdm_run_v31526061874268,1,shape,age7,1526061902935.0,2018-05-11T18:05:02.935Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age7_cdm_run_v31526061874268.png
304,cdm_run_v31526061874268,2,this circle,age7,1526061911166.0,2018-05-11T18:05:11.166Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age7_cdm_run_v31526061874268.png
305,cdm_run_v31526061922561,0,square,age7,1526061985778.0,2018-05-11T18:06:25.778Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age7_cdm_run_v31526061922561.png
